Track.Name,Artist,Genre,Track.Score
Track 0388,Artist 12,R&B,60.82
Track 0389,Artist 40,Hip-hop,40.92
Track 0390,Artist 57,EDM,40.53
Track 0391,Artist 67,Rock,50.46
Track 0392,Artist 31,Country,31.31
Track 0393,Artist 23,Country,36.45
Track 0394,Artist 49,Rock,44.87
Track 0395,Artist 45,R&B,71.38
Track 0396,Artist 07,EDM,22.11
Track 0397,Artist 13,EDM,78.91
Track 0398,Artist 11,Rock,55.78
Track 0399,Artist 55,Country,60.61
Track 0400,Artist 18,Country,54.18
Track 0401,Artist 67,Rock,65.12
Track 0402,Artist 38,EDM,53.95
Track 0403,Artist 60,R&B,56.67
Track 0404,Artist 58,Country,62.34
Track 0405,Artist 53,Indie,31.59
Track 0406,Artist 01,R&B,40.76
Track 0407,Artist 02,Indie,63.81
Track 0408,Artist 23,Rock,51.89
Track 0409,Artist 24,Hip-hop,52.65
Track 0410,Artist 25,Hip-hop,41.65
Track 0411,Artist 37,R&B,25.61
Track 0412,Artist 63,EDM,43.19
Track 0413,Artist 64,R&B,44.43
Track 0414,Artist 14,R&B,60.5
Track 0415,Artist 52,R&B,54.11
Track 0416,Artist 08,EDM,58.76
Track 0417,Artist 23,EDM,42.37
Track 0418,Artist 65,Hip-hop,20.92
Track 0419,Artist 44,Country,40.06
Track 0420,Artist 06,R&B,47.77
Track 0421,Artist 58,Country,41.39
Track 0422,Artist 27,Rock,32.02
Track 0423,Artist 57,R&B,24.49
Track 0424,Artist 30,Hip-hop,41.3
Track 0425,Artist 54,Hip-hop,32.96
Track 0426,Artist 55,R&B,37.23
Track 0427,Artist 32,Hip-hop,64.2
Track 0428,Artist 08,Rock,26.5
Track 0429,Artist 17,EDM,38.64
Track 0430,Artist 26,Rock,32.66
Track 0431,Artist 14,Country,54.99
Track 0432,Artist 02,Indie,53.03
Track 0433,Artist 18,Country,41.61
Track 0434,Artist 07,EDM,50.14
Track 0435,Artist 26,Hip-hop,55.95
Track 0436,Artist 06,Pop,48.62
Track 0437,Artist 01,Indie,29.2
Track 0438,Artist 53,Hip-hop,52.42
Track 0439,Artist 59,EDM,36.75
Track 0440,Artist 48,Pop,31.12
Track 0441,Artist 01,Hip-hop,61.52
Track 0442,Artist 47,Rock,36.14
Track 0443,Artist 50,Indie,76.07
Track 0444,Artist 26,EDM,49.01
Track 0445,Artist 33,Country,42.74
Track 0446,Artist 50,Pop,30.36
Track 0447,Artist 50,Country,67.74
Track 0448,Artist 09,Rock,43.51
Track 0449,Artist 23,Hip-hop,28.41
Track 0450,Artist 56,Hip-hop,19.79
Track 0451,Artist 34,Rock,68.34
Track 0452,Artist 13,Pop,34.91
Track 0453,Artist 36,Hip-hop,52.31
Track 0454,Artist 05,R&B,57.55
Track 0455,Artist 21,Rock,37.13
Track 0456,Artist 29,R&B,51.16
Track 0457,Artist 50,Pop,62.61
Track 0458,Artist 47,EDM,54.38
Track 0459,Artist 32,Pop,25.73
Track 0460,Artist 63,R&B,21.42
Track 0461,Artist 19,EDM,51.15
Track 0462,Artist 22,EDM,36.11
Track 0463,Artist 23,Hip-hop,16.96
Track 0464,Artist 49,R&B,43.16
Track 0465,Artist 27,R&B,44.99
Track 0466,Artist 02,Pop,35.03
Track 0467,Artist 51,Country,18.46
Track 0468,Artist 01,Pop,48.55
Track 0469,Artist 61,EDM,26.61
Track 0470,Artist 54,Rock,65.31
Track 0471,Artist 35,Rock,42.06
Track 0472,Artist 48,Indie,24.31
Track 0473,Artist 48,Indie,17.38
Track 0474,Artist 20,Country,45.21
Track 0475,Artist 21,Rock,42.78
Track 0476,Artist 29,R&B,44.79
Track 0477,Artist 25,EDM,17.01
Track 0478,Artist 58,Pop,54.3
Track 0479,Artist 47,Indie,48.14
Track 0480,Artist 53,Indie,36.95
Track 0481,Artist 48,Indie,96.75
Track 0482,Artist 64,Pop,59.3
Track 0483,Artist 14,Indie,46.77
Track 0484,Artist 41,Hip-hop,41.88
Track 0485,Artist 04,Hip-hop,79.31
Track 0486,Artist 50,R&B,60.15
Track 0487,Artist 48,Hip-hop,39.28
Track 0488,Artist 14,Rock,29.29
Track 0489,Artist 63,R&B,35.33
Track 0490,Artist 15,R&B,22.39
Track 0491,Artist 32,EDM,64.48
Track 0492,Artist 66,Hip-hop,37.19
Track 0493,Artist 60,Hip-hop,52.47
Track 0494,Artist 48,Pop,39.21
Track 0495,Artist 11,R&B,38.24
Track 0496,Artist 03,EDM,22.2
Track 0497,Artist 36,EDM,40.71
Track 0498,Artist 63,R&B,49.19
Track 0499,Artist 28,Indie,56.02
Track 0500,Artist 35,Indie,46.39
