Name,Platform,Year,Publisher
Game 0201,PS4,2025,Sony
Game 0202,Switch,2022,Sega
Game 0203,PS5,2025,Konami
Game 0204,PS5,2003,Capcom
Game 0205,Switch,2014,Bethesda
Game 0206,Xbox,2002,Take-Two
Game 0207,PS4,2001,Capcom
Game 0208,PC,2019,Square Enix
Game 0209,PS4,2020,Ubisoft
Game 0210,PS5,2015,Bethesda
Game 0211,Switch,2025,Capcom
Game 0212,PS5,2004,Capcom
Game 0213,PS4,2005,Electronic Arts
Game 0214,PS4,2020,Bethesda
Game 0215,PS4,2012,Nintendo
Game 0216,PC,2016,Electronic Arts
Game 0217,Switch,2012,Bethesda
Game 0218,PC,2017,Bandai Namco
Game 0219,PS5,2008,Sony
Game 0220,Switch,2005,Ubisoft
Game 0221,Xbox,2003,Ubisoft
Game 0222,Mobile,2015,Sony
Game 0223,Switch,2022,Take-Two
Game 0224,Switch,2007,Bethesda
Game 0225,PC,2006,Electronic Arts
Game 0226,PC,2002,Capcom
Game 0227,Xbox,2018,Square Enix
Game 0228,PS4,2010,Ubisoft
Game 0229,Xbox,2020,Sega
Game 0230,PS5,2013,Nintendo
Game 0231,PS4,2021,Take-Two
Game 0232,PS4,2009,Bethesda
Game 0233,PC,2017,Bandai Namco
Game 0234,PS4,2023,Nintendo
Game 0235,Xbox,2001,Sega
Game 0236,Switch,2002,Take-Two
Game 0237,PS4,2002,
Game 0238,PS5,2025,Ubisoft
Game 0239,Mobile,2011,Nintendo
Game 0240,PC,2022,Konami
Game 0241,PS5,2022,Activision
Game 0242,PC,2021,Bethesda
Game 0243,PS4,2025,Capcom
Game 0244,PC,2014,Konami
Game 0245,PS5,2004,Ubisoft
Game 0246,PS5,2021,Konami
Game 0247,Switch,2008,Nintendo
Game 0248,Xbox,2007,Bandai Namco
Game 0249,Xbox,2006,Konami
Game 0250,Switch,2021,Sony
Game 0251,Mobile,2005,Square Enix
Game 0252,PS5,2014,Take-Two
Game 0253,PC,2009,Electronic Arts
Game 0254,Xbox,2011,Capcom
Game 0255,Mobile,2020,Konami
Game 0256,PS5,2006,Sony
Game 0257,Switch,2004,Konami
Game 0258,PC,2019,Bandai Namco
Game 0259,Mobile,2024,Take-Two
Game 0260,PC,2008,Sega
